Chunk Number,Original Text Chunk,Summary,Source File
222,"getting started with MLflow, take a look at the excellent documentation. # Review P202 weekly sales MLflow's design is centered around the ability to log all of the inputs and y_p202 - sales_pdf Isales_pdf 'Product_ Code'] P202'1.values [0] [1:53] outputs of each experiment we do in a systematic, reproducible way. On every pass through the data, known as a ""run,"" we're able to log our experiment's:",In this post I'm going to show you how to build a machine learning experiment using MLflow.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
223,"Parameters: The inputs to our model Metrics: The output of our model, or measures of our model's success Comparing Optimal Sales Trends With Weekly Sales for P2 60 P716 Optimal Sales Trend Artifacts: Any files created by our model = for example, PNG plots or","The following table lists the inputs to our model, or measures of our model's success:",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
224,"50 CSV data output 40 Models: The model itself, which we can later reload and use to serve predictions",Here's a look at some of the key,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
225,10 20 30 40 50,BBC Sport takes a look back at some of the,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
226,"databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 31 In our case, we can use it to run the dynamic time warping algorithm several times import mlflow","In this paper, we show how we can use big data to",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
227,"over our data while changing the ""stretch factor,"" the maximum amount of warp def run_ DTW (ts_stretch factor) : that can be applied to our time series data. To initiate an MLflow experiment, and # calculate DTW distance and Z-score for each product <strong>with mlflw.start_run () as run:</strong>","To start an MLflow experiment, and # calculate DTW distance and Z-score for each product ",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
228,"allow for easy logging using mllow.log_param (), mllow.log.metrico. mllow.log.artifact (), and mlflow.log.model (), we wrap our main function # Log Model using Custom Flavor dtw_model = 'stretch_factor"" : float t.stretch.factor), using:",In this post we are going to show you how to log into,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
229,"'pattern' : optimal pattern) <strongpmlflow cus om._lavor.log_model (dtw_model, artifact_ path= ""model"") </strong> iwith mllow.start_run () as run: # Log our stretch factor parameter to MLflow",strongpmlflow cus om.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
230,"trogallow.ogaran Catretch_factor"", ts.stretch._factor) </ strong> as shown in the abbreviated code at right. # Log the median DTW distance for this run StroNpIegte (""Median Distance"", distance._median) </",The distance between the starting line and the finish line is,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
231,strong> # Log artifacts CSV file and PNG plot to MLflow <strongpmitow.logartifact/ascore.outliers + str (ts_stretch factor) + .csv') mllow.logartifact com.distMistogran png'),# Log artifacts file and PNG plot strong,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
232,"return run.infoc/strong) stretch_ factors_ to_test = [0.0, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5] for n in stretch facto S to_test: run_DTW (n) With each run through the data, we've created a log of the ""stretch factor""",The BBC Sport website is running a series of tests to see if the BBC Sport,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
233,"parameter being used, and a log of products we classified as being outliers based upon the Z-score of the DTW distance metric. We were even able to save an artifact (file) of a histogram of the DTW distances. These experimental runs are saved locally on Databricks and remain accessible in the future if you decide to view the results of your experiment at a later date.",In this paper we have used Databricks to store our experimental data on a local hard drive.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
234,"databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 32 Now that MLflow has saved the logs of each experiment, we can go back through reload models after they are initially constructed, as demonstrated in this","In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
235,"and examine the results. From your Databricks notebook, select the ""Runs"" icon in blog post. For example, when using MLflow with scikit-learn, logging a model is the upper right-hand corner to view and compare the results of each of our runs. as easy as running the following code from within an experiment: wwwyoutubecom/watchpl-62PAPo-2ZU","In this blog post, I'm going to show you how to run the following code from within an experiment.",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
236,"mlflow. sklearn.log.model (model=sk model, artifact path-sk_mode. ath"" Not surprisingly, as we increase our ""stretch factor,"" our distance metric decreases. MLflow also offers a ""Python function"" flavor, which allows you to save any Intuitively, this makes sense: as we give the algorithm more flexibility to warp the model from a third-party library (such as XGBoost or spaCy), or even a simple time indices forward or backward, it will find a closer fit for the data. In essence,",MLflow is a Python-based machine learning algorithm that learns from large amounts of data.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
237,"Python function itself, as an MLflow model. Models created using the Python we've traded some bias for variance. function flavor live within the same ecosystem and are able to interact with other MLflow tools through the Inference API. Although it's impossible to plan for every use case, the Python function model flavor was designed to be as universal and",In this talk I'm going to show you how to use Python function as an MLflow model.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
238,"Logging models in MLflow flexible as possible. It allows for custom processing and logic evaluation, which can come in handy for ETL applications. Even as more ""official"" model flavors MLflow has the ability to not only log experiment parameters, metrics and artifacts come online, the generic Python function flavor will still serve as an important",MLflow is a Python-based tool for logging models in machine learning experiments.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
239,"(like plots or CSV files), but also to log machine learning models. An MLflow model ""catchall,"" providing a bridge between Python code of any kind and MLflow's is simply a folder that is structured to conform to a consistent API, ensuring robust tracking toolkit. compatibility with other MLflow tools and features. This interoperability is very",MLflow is a Python-based machine learning tool that can be used to track data from a variety of sources.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
240,"powerful, allowing any Python model to be rapidly deployed to many different Logging a model using the Python function flavor is a straightforward process. types of production environments. Any model or function can be saved as a model, with one requirement: It must take in a pandas DataFrame as input, and return a DataFrame or NumPy",Python Logging is a new feature in the Python programming language.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
241,"MLflow comes pre-loaded with a number of common model ""flavors"" for many array. Once that requirement is met, saving your function as an MLflow model of the most popular machine learning libraries, including scikit-learn, Spark MLlib, involves defining a Python class that inherits from PythonModel, and overriding the PyTorch, TensorFlow, and others. These model flavors make it trivial to log and",MLflow is a Python library for building machine learning models.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
242,"-predict () method with your custom function, as described here. databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 33 Loading a logged model from one of our runs",How do you predict the outcome of elections?,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
243,"Next steps Now that we've run through our data with several different stretch factors, As you can see, our MLflow model is predicting new and unseen values with ease. the natural next step is to examine our results and look for a model that did And since it conforms to the Inference API, we can deploy our model on any","In this post, I'm going to show you how to use the Inference API to build a machine learning model that can predict the",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
244,"particularly well according to the metrics that we've logged. MLflow makes it easy serving platform (such as Microsoft Azure ML or Amazon SageMaker), deploy it as to then reload a logged model, and use it to make predictions on new data, using a local REST API end point, or create a user-defined function (UDF) that can easily the following instructions:",We've been using MLflow to make predictions about what the weather will be like in the next few weeks...,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
245,"be used with Spark SQL. In closing, we demonstrated how we can use dynamic 1. Click on the link for the run you'd like to load our model from time warping to predict sales trends using the Databricks Unified Data Analytics Platform. Try out the Using Dynamic Time Warping and MLflow to Predict Sales 2. Copy the ""Run ID""","In this session, we learned how to use dynamic time warping and MLflow to predict sales.",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
246,"Trends notebook with Databricks Runtime for Machine Learning today. 3. Make note of the name of the folder the model is stored in. In our case, it's simply named ""model"" 4. Enter the model folder name and Run ID as shown below: import custom flavor as mllox.custom_lavor","In this tutorial, I'm going to show you how to import and run a machine learning model on",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
247,"loaded_model mlflow_ custom flavor load model artifact.path-modelr run id-'e26961b25c4d4402a9a5a7a679fc8052"") To show that our model is working as intended, we can now load the model and use it to measure DTW distances on two new products that we've created within the variable new.sales_units :",In this article we're going to show you how to load a model and use it to,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
248,# use the model to evaluate new products found in new_sales_units output - loadedmodel-predict (new_sales.units) print (output) databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION,# use the model to evaluate new products found in new_,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
249,"34 CHAPTER 5: Detecting Financial Fraud Detecting fraudulent patterns at scale using artificial intelligence is a challenge, no matter the use case. Scale With Decision","In our series of letters from African journalists, filmmaker",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
250,"The massive amounts of historical data to sift through, the complexity of the constantly evolving machine at learning and deep learning techniques, and the very small number of actual examples of fraudulent Trees and MLflow on behavior are comparable to finding a needle in a haystack while not knowing what the needle looks like. In","In the world of artificial intelligence, finding a needle in a haystack can be a challenge.",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
251,"Databricks the financial services industry, the added concerns with security and the importance of explaining how fraudulent behavior was identified further increase the complexity of the task. df Rules df.riticolum-labev, to Identify Known Fraud-based .whe",The task of identifying known fraud-based activity has become more challenging over the,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
252,"(df.oldbalanceorg 56900) & (df.type == ""TRANSFER"") df.newbalanceDest = 105)) I (df.oldbalanceorg 56900) & (df.neubalanceoris S= 12)) I 0101 Financial Data ), (df.oldbalanceorg 56900) & (df.nevbalanceoris 12) & (df.amount 1160000)",I (df.oldbalanceorg 56900) & (,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
253,").otherwise(0)) d Rules to Identify Fraud-based By Elena Boiarskaia, Navin Albert E and Denny Lee",A guide to some of the most common frauds,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
254,"(df.oldbalanceorg 56900) (df.type ""TRANSFER"") C (df.oldbalanceorg 56900) & (df.newbalanceorig 12)) 0101 Financial Data",The full text of this story will appear here.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
255,"(df.oldbalanceorg 56900) & (df.newbalanceoris 12) & (df.amount 1160000) Try this notebook in Databricks * ).otherwise(e)) ), To build these detection patterns, a team of domain experts comes up with a set of rules based on how fraudsters typically behave. A workflow may include a subject matter expert in the financial fraud detection","Financial fraud is one of the most common forms of cybercrime, but how do we stop it?",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
256,"space putting together a set of requirements for a particular behavior. A data scientist may then take a subsample of the available data and select a set of deep learning or machine learning algorithms using these requirements and possibly some known fraud cases. To put the pattern in production, a data engineer may convert the resulting model to a set of rules with thresholds, often implemented using SQL. databricks",Data scientists and data engineers use a variety of techniques to investigate fraud.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
257,"EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 35 This approach allows the financial institution to present a clear set of characteristics that lead to the identification of a fraudulent transaction that is compliant with the General Data Protection Regulation (GDPR). However, this approach also poses",The EU's General Data Protection Regulation (GDPR) came into force on 25 May 2018 and requires financial institutions,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
258,"numerous difficulties. The implementation of a fraud detection system using a hardcoded set of rules is very brittle. Any changes to the fraud patterns would take Data Engineer a very long time to update. This, in turn, makes it difficult to keep up with and adapt to the shift in fraudulent activities that are happening in the current marketplace.",This paper describes the challenges of implementing a fraud detection system.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
259,Datal Engineer Data Analyst Data Scientist 0 Data Analyst,BBC News NI takes a look at some of the,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
260,"Data Scientist X Additionally, the systems in the workflow described above are often siloed, with In this blog, we will showcase how to convert several such rule-based detection the domain experts, data scientists and data engineers all compartmentalized.","In this blog, we will showcase how to convert several such rule-based detection the",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
261,"use cases to machine learning use cases on the Databricks platform, unifying the The data engineer is responsible for maintaining massive amounts of data and key players in fraud detection: domain experts, data scientists and data engineers. translating the work of the domain experts and data scientists into production level We will learn how to create a machine learning fraud detection data pipeline and code. Due to a lack of a common platform, the domain experts and data scientists visualize the data in real time, leveraging a framework for building modular features","In this session, you will learn how to create a machine learning fraud detection data pipeline and code.",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
262,have to rely on sampled down data that fits on a single machine for analysis. This from large data sets. We will also learn how to detect fraud using decision trees leads to difficulty in communication and ultimately a lack of collaboration. and Apache SparkM MLlib. We will then use MLflow to iterate and refine the model to improve its accuracy.,In this talk we will learn how to detect fraud using decision trees.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
263,databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 36 Solving with machine learning There is a certain degree of reluctance with regard to machine learning models in,"In this article, I am going to look at some of the",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
264,"This simultaneously mitigates three concerns: the financial world, as they are believed to offer a ""black box"" solution with no way 1. The lack of training labels of justifying the identified fraudulent cases. GDPR requirements, as well as financial 2. The decision of what features to use","In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
265,"regulations, make it seemingly impossible to leverage the power of data science. 3. Having an appropriate benchmark for the model However, several successful use cases have shown that applying machine learning to detect fraud at scale can solve a host of the issues mentioned above. Training a machine learning model to recognize the rule-based fraudulent behavior","In our series of letters from African-American journalists, film-maker, and columnist Steve Kroft looks at some of the challenges",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
266,"flags offers a direct comparison with the expected output via a confusion matrix. The Databricks Lakehouse Platform Provided that the results closely match the rule-based detection pattern, this approach helps gain confidence in machine learning-based fraud prevention with Databricks Notebooks",The Databricks Lakehouse Platform has been used to develop a new flag-based fraud,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
267,the skeptics. The output of this model is very easy to interpret and may serve as a baseline discussion of the expected false negatives and false positives when compared to the original detection pattern. Financial Data Data Engineering,This paper presents a regression model that can be used to estimate the likelihood of false positives,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
268,"Data Analytics Machine Learning Furthermore, the concern with machine learning models being difficult to interpret may be further assuaged if a decision tree model is used as the initial machine bastbonwi With wegeed","In our series of letters from African journalists, film-maker and columnist",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
269,"Data Democratization learning model. Because the model is being trained to a set of rules, the decision tree is likely to outperform any other machine learning model. The additional Training a supervised machine learning model to detect financial fraud is very benefit is, of course, the utmost transparency of the model, which will essentially",A machine learning model to detect financial fraud has been developed by researchers at the Massachusetts Institute of Technology (MIT).,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
270,"difficult due to the low number of actual confirmed examples of fraudulent show the decision-making process for fraud, but without human intervention and behavior. However, the presence of a known set of rules that identify a particular need the to hard code any rules or thresholds. Of course, it must be understood","In our series of letters from African journalists, film-maker and columnist Ahmedou Ould-Abdallah looks at",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
271,type of fraud can help create a set of synthetic labels and an initial set of features. that the future iterations of the model may utilize a different algorithm altogether The output of the detection pattern that has been developed by the domain to achieve maximum accuracy. The transparency of the model is ultimately experts in the field has likely gone through the appropriate approval process to achieved by understanding the features that went into the algorithm. Having,"Researchers at the University of California, Los Angeles (UCLA) have developed a machine learning model that can detect fraud.",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
272,"be put in production. It produces the expected fraudulent behavior flags and interpretable features will yield interpretable and defensible model results. may, therefore, be used as a starting point to train a machine learning model. databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION",The aim of this work is to train a machine learning model that can detect fraud.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
273,"37 The biggest benefit of the machine learning approach is that after the initial Exploring the data modeling effort, future iterations are modular, and updating the set of labels, Creating the DataFrames: Now that we have uploaded the data to Databricks File","In our series of letters from African journalists, filmmaker and columnist Ahmed Rashid looks at some of the",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
274,"features or model type is very easy and seamless, reducing the time to production. System (DBFS), we can quickly and easily create DataFrames using Spark SQL. This is further facilitated on the Databricks Collaborative Notebooks where the domain experts, data scientists and data engineers may work off the same data set # Create df DataFrame which contains our simulated financial fraud detection dat taset","In this article, we are going to use Spark to create a simulation of financial fraud.",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
275,"at scale and collaborate directly in the notebook environment. So let's get started! df = spark.sql (""select step, type, amount, nameOrig, oldbalanceorg, newbalanceorig, nameDest, oldbalanceDest, newbalanceDest from sim_fin fraud_detection""? Ingesting and exploring the data",This week we're taking a look at some of the best examples of,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
276,"Now that we have created the DataFrame, let's take a look at the schema and the We will use a synthetic data set for this example. To load the data set yourself, first thousand rows to review the data. please download it to your local machine from Kaggle and then import the data via # Review the schema of your data Import Data = Azure and AWS.",In this lesson we will create a DataFrame and import a synthetic data set from Kaggle.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
277,df.printSchema () root  step: integer (nullable = true) The PaySim data simulates mobile money transactions based on a sample of real - type: string (nullable = true),The PaySim data simulates mobile money transactions based on a,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
278,transactions extracted from one month of financial logs from a mobile money amount: double (nullable = true) nameOrig: string (nullable = true) service implemented in an African country. The below table shows the information oldbalanceorg: double (nullable true),Details of the mobile money services provided by Oldbalance.org.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
279,newbalanceOrig: double (nullable = true) that the data set provides: nameDest: string (nullable = true) oldbalanceDest: double (nullable = true) newbalanceDest: double (nullable = true),Newbalance is a new and improved version of old,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
280,"Column Name Description step maps aunit toftimei int ther real world. Int this case stepi is1 hour oft time."" Total steps 744 (30 days simulation). type CASH-IN, CASH-OUT, DEBIT, PAYMENT and TRANSFER.",The following table lists all the steps in the step-by-step,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
281,amount amount ofthet transactioni ink local currency. PAYMENT 707T 0154988899 183195 176087.23 M408069119 nameOrig customer who started thet transaction,"The largest online retailer in the UK, Amazon,",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
282,PAYMENT 7861.64 C1912850431 176087.23 168225.59 M633326333 oldbalanceOrg initial balance before thet transaction DAMME,"BBC News NI is part of the BBC Group,",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
283,newbalanceOrig new balance aftert thet transaction nameDest customer whoi ist ther recipient oft the transaction oldbalanceDest initial balance recipient before thet transaction. Note that therei isr noti informationi for customers that starty withMMerchants). newbalanceDest newb balance recipient aftert thet transaction. Notet thatt thereisnoti informationi for customers thats start with M (Merchants). databricks,New balance aftert thet transaction name newbalanceDest customer whoi ist ther recipient oft the transaction,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
284,EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 38 Types of transactions 500G Let's visualize the data to understand the types of transactions the data captures,What is the difference between a bank and a credit card?,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
285,450G 400G and their contribution to the overall transaction volume. 350G E 300G,A look at some of the key players in the,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
286,"8sql 250G Organize by Type 200G select type, count (1) from financials group by type",A look at some of the key stories in the,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
287,150G 100G 50G 1% 0.00,"The world's smallest, lightest and most powerful",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
288,TRANSFER CASH_IN CASH_OUT PAYMENT DEBIT type - TRANSFER 8%,BBC Sport takes a look at some of the key,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
289,CASHLIN CASH_OUT PAYMENT 35% DEBIT,A look at some of the key stories from the,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
290,"Rule-based model 22% We are not likely to start with a large data set of known fraud cases to train our model. In most practical applications, fraudulent detection patterns are identified by a set of rules established by the domain experts. Here, we create a column",How do you train a fraud detection model?,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
291,"called label based on these rules. 34% # Rules to Identify Known Fraud-based df = df.withColumn (""label"", F.when(",Rules to identify Known Fraud-based df =,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
292,"(df.oldbalanceorg 56900) & (dF.newbalanceorig To get an idea of how much money we are talking about, let's also visualize the 56900) & (dF.newbalanceorig > 12) & (df.amount > 1160000) data based on the types of transactions and on their contribution to the amount of , 1",This table shows the value of all transactions carried out by the Oldbalanceorg and the Newbalanceorig,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
293,".otherwise (0)) cash transferred (i.e., sum(amount). 8sql select type, sum (amount) from financials group by type databricks",sum (amount) from financials group by type,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
294,EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 39 Visualizing data flagged by rules Selecting the appropriate machine learning models These rules often flag quite a large number of fraudulent cases. Let's visualize the,"In our series of letters from African journalists, filmmaker and columnist Ahmed Rashid looks at",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
295,"number of flagged transactions. We can see that the rules flag about 4% of the In many cases, a black box approach to fraud detection cannot be used. First, the cases and 11% of the total dollar amount as fraudulent. domain experts need to be able to understand why a transaction was identified as fraudulent. Then, if action is to be taken, the evidence has to be presented",The number of suspicious transactions flagged by Google's anti-fraud rules has been revealed.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
296,"8sql in court. The decision tree is an easily interpretable model and is a select label, count (1) as ""Transactions', sun (amount) as 'Total Amount' great starting from financials_labeled group by label",The US Federal Reserve's decision on interest rates will be published on,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
297,point for this use case. Transactions Total Amount 4% B:,The Bank of England has announced that it is to,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
298,"label 4.0 B. X,4.2) (4,21.2) 11% O",The winning numbers in Saturday evening's drawing of,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
299,"3.0 :: (X,<1.9) X,21.9) X,2.4) (X,22.4 X, 2.0 (Kxo.9) X22 *",BBC Sport takes a look at some of the key,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
300,"1.0 9 (X,<0.4) (4,20.4) (X,0.4) (X,20.4) a 96% 89%",BBC Sport takes a look at some of the key,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
301,"0.0 0.5 1.0 1.5 2.0 X,<1.4) (X,21.4) (X,0.9) (X,20.9) X, (a) (b)",The winning numbers in Saturday evening's drawing of,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
302,"Creating the training set To build and validate our ML model, we will do an 80/20 split using randomSplit. This will set aside a randomly chosen 80% of the data for training and the remaining 20% to validate the results. # Split our dataset between training and test datasets","In this session, we are going to build and validate a machine learning model by splitting our dataset between training and",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
303,"(train, test) = df.randomsplitqt0.8, 0.2], seed-12345) databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 40 Creating the ML model pipeline",The results of a study on the use of artificial,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
304,"Visualizing the model To prepare the data for the model, we must first convert categorical variables to Calling display () on the last stage of the pipeline, which is the decision numeric using Stringindexer. We then must assemble all of the features tree model, allows us to view the initial fitted model with the chosen decisions","In this tutorial, we will learn how to build a features tree model from a data set.",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
305,we would like for the model to use. We create a pipeline to contain these feature at each node. This helps us to understand how the algorithm arrived at the preparation steps in addition to the decision tree model SO that we may repeat resulting predictions. these steps on different data sets. Note that we fit the pipeline to our training data,We want to train a decision tree model on different data sets.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
306,display (dt.model.stages [-1]) first and will then use it to transform our test data in a later step. from pyspark.ml import Pipeline from Pyspark.ml.feature import StringIndexer from Pyspark.ml.feature import VectorAssembler,"In this tutorial, I'm going to show you how to",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
307,"from Peparkmidasication import Decisionfreclassile: cae44 de # Encodes a string column of labels to a column of label indices indexer = StringIndexer (inputCol = ""type"", outputCol = ""typeIndexed"")",The following is an example of how to create a label index,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
308,"# VectorAssembler is a transformer that combines a given list of columns into a single vector column va - VectorAssembler (inputCols = l'typeIndexed"", ""amount"", ""oldbalanceOrg"", ""newbalanceorig"", ""oldbalanceDest"", ""newbalanceDest"", ""orgDiff"", destDiff""), outputCol = ""features"")",# VectorAssembler is a transformer that combines a given list of columns,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
309,"# Using the DecisionTree classifier model dt = Decisionfreclassiler (labelCol = ""label"", featuresCol = 20+ ""features"", seed = 54321, maxDepth = 5) ",Find out how to train a classifier on a single,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
310,"# Create our pipeline stages pipeline = Pipeline (stages= [indexer, va, dt]) 6 # View the Decision Tree model (prior to CrossValidator) dt_model = pipeline.fit (train)",# Create our pipeline stages pipeline = Pipeline (stages,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
311,Visual representation of the decision tree model databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 41 Model tuning,"In this video, you'll learn how to",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
312,"Model performance To ensure we have the best-fitting tree model, we will cross-validate the model We evaluate the model by comparing the Precision-Recal (PR) and area under the with several parameter variations. Given that our data consists of 96% negative ROC curve (AUC) metrics for the training and test sets. Both PR and AUC appear to",The aim of this study is to train and test a tree model for predicting the likelihood of a car crash.,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
313,"and 4% positive cases, we will use the Precision-Recall (PR) evaluation metric to be very high. account for the unbalanced distribution. <b>from</b> pyspark.ml.tuning <b>importx/b> CrossValidator, # Build the best model (training and test datasets)","In this project, we are going to build a cross-validation model for",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
314,ParamcridBuilder train_pred = CVModel u .transform (train) test_pred CVModel .transform (test) # Build the grid of different parameters paramGrid = ParamdridBuildero,ParamcridBuilder train_pred = CV,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
315,"# Evaluate the model on training datasets .addGrid (dt.maxDepth, [5, 10, 15]) I pr_train evaluatorP.evaluate (train_pred) addGrid (dt.maxBins, [10, 20, 30]) I auc_train = evaluatorAvC.evaluate (train_pred)",I auc_train = evaluatorAvC.evaluate,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
316,".build() # Evaluate the model on test datasets # Build out the cross validation pr_test = evaluatorP.evaluate (test_pred) crossval = CrossValidator (estimator dt,",.build # the model on test datasets #,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
317,"auc_test - evaluatorAvC.evaluate (test_pred) estimatorParamlaps = paramGrid, evaluator - evaluatorpR, # Print out the PR and AUC values numFolds = 3)",Print out the PR andAUC values for the evaluator,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
318,"print (""PR train:"", pr_train) # Build the CV pipeline print (""AUC train:"", auc_train) pipelinecv = Pipeline (stages= [indexer, va, crossval]) print (""PR test:"", pr_test)","print (""PR train:"", pr_train",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
319,"print (""AUC test:"", auc_test) # Train the model using the pipeline, paramet ter grid, and preceding BinaryClassifcationivaluator CVModel_u - pipelinecv.fit (train) # Output:","Train the model using the pipeline, paramet ter",summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
320,# PR train: 0.953789498452128 AUC train: 0.998647996459481 PR test: 0.9539170535377599 # AUC test: 0.9984378183482442 databricks,Check out the best images from this year's,summarized_big-book-of-machine-learning-use-cases-2nd-edition.csv
